entityId,publishedAt,status,title,tags
3848546,2019-04-18T12:01:31-0300,True,Morre catador de lixo baleado ao tentar ajudar família que foi alvo de 80 tiros do Exército,"Rio de Janeiro, exército, Destaque NSC"
3848306,2019-04-18T11:59:59-0300,True,"Sexta-feira Santa terá Rota de Lazer na Rua XV de Novembro, em Blumenau","Blumenau, Rota de Lazer, Rua XV de Novembro, Destaque Santa"
3839341,2019-04-18T11:52:42-0300,True,Defesa quer habeas corpus para invalidar flagrante contra senegalês preso em Florianópolis,"Florianópolis, guarda municipal, Destaque Hora SC"
3847451,2019-04-18T11:43:20-0300,True,Zerar a fila das creches é prioridade da Prefeitura de Florianópolis  ,"Estúdio NSC Branded Content, Prefeitura Municipal de Florianópolis"
3847436,2019-04-18T11:42:54-0300,True,Macaco domesticado é abandonado em unidade dos bombeiros de Joinville,"meio ambiente, Joinville, Polícia Militar Ambiental, Ibama"
3847446,2019-04-18T11:32:27-0300,True,Sujou,"polêmica, PSL, deputada estadual, Facebook"
3847441,2019-04-18T11:29:11-0300,True,"Criminosos fazem criança e pai reféns durante assalto no Passo Manso, em Blumenau","assalto, Passo Manso, Blumenau, Destaque Santa"
3847421,2019-04-18T11:20:53-0300,True,Blumenau sofre derrota no Paraná e dá adeus às chances de classificação na Liga Ouro,"basquete, Blumenau, liga ouro, Esportes"
3847426,2019-04-18T11:08:06-0300,True,Motorista é preso em flagrante após atropelar ciclista e fugir em Cocal do Sul,"Cocal do Sul, Criciúma, atropelamento, ciclista, sul do estado, Polícia Civil, Polícia Militar"
3847416,2019-04-18T10:55:11-0300,True,"Homem é morto com um tiro no bairro Ingleses, em Florianópolis","homicídio, Florianópolis, Destaque Hora SC"
3847411,2019-04-18T10:50:40-0300,True,Desassoreamento de ribeirão em Blumenau já retirou nove toneladas de lixo,"ribeirão, Itoupavazinha, Blumenau, Destaque Santa"
3847406,2019-04-18T10:43:35-0300,True,Biguaçu decreta ponto facultativo e não tem expediente nesta quinta-feira,"feriado, Páscoa, Biguaçu, Grande Florianópolis, ponto facultativo"
3847401,2019-04-18T10:42:35-0300,True,Morre ex-secretário e juiz Walter Zigelli,luto
3847396,2019-04-18T10:35:07-0300,True,Comerciantes acreditam em fortalecimento do bairro com criação de rota gastronômica do Espinheiros,"Espinheiros, turismo, Joinville, Destaque AN"
3763451,2019-04-18T10:35:02-0300,True,"Artilheiro da Chape diz que rock antes dos jogos o ""deixa ligado""","Chapecoense, Campeonato Catarinense, Esportes"
3847391,2019-04-18T10:32:58-0300,True,Dois suspeitos de assaltar e agredir mulher morrem em confronto com a PM em São José,"polícia, São José, Destaque Hora SC"
3844966,2019-04-18T10:25:02-0300,True,Falando de Sexo: Existe frequência considerada “normal”?,Falando de Sexo
